estrutura,cenario,tamanho,operacao,memoriaMedia_b,desvioPadrao
MinHeap,Duplicatas_0.0,1000,Memoria,4040.00,0.00
MinHeap,Duplicatas_25.0,1000,Memoria,4040.00,0.00
MinHeap,Duplicatas_50.0,1000,Memoria,4040.00,0.00
MinHeap,Duplicatas_75.0,1000,Memoria,4040.00,0.00
MinHeap,Duplicatas_100.0,1000,Memoria,4040.00,0.00
MinHeap,Duplicatas_0.0,10000,Memoria,40040.00,0.00
MinHeap,Duplicatas_25.0,10000,Memoria,40040.00,0.00
MinHeap,Duplicatas_50.0,10000,Memoria,40040.00,0.00
MinHeap,Duplicatas_75.0,10000,Memoria,40040.00,0.00
MinHeap,Duplicatas_100.0,10000,Memoria,40040.00,0.00
MinHeap,Duplicatas_0.0,100000,Memoria,400040.00,0.00
MinHeap,Duplicatas_25.0,100000,Memoria,400040.00,0.00
MinHeap,Duplicatas_50.0,100000,Memoria,400040.00,0.00
MinHeap,Duplicatas_75.0,100000,Memoria,400040.00,0.00
MinHeap,Duplicatas_100.0,100000,Memoria,400040.00,0.00
MinHeap,Duplicatas_0.0,1000000,Memoria,4000040.00,0.00
MinHeap,Duplicatas_25.0,1000000,Memoria,4000040.00,0.00
MinHeap,Duplicatas_50.0,1000000,Memoria,4000040.00,0.00
MinHeap,Duplicatas_75.0,1000000,Memoria,4000040.00,0.00
MinHeap,Duplicatas_100.0,1000000,Memoria,4000040.00,0.00
TreeMap,Duplicatas_0.0,1000,Memoria,112096.00,0.00
TreeMap,Duplicatas_25.0,1000,Memoria,93488.00,0.00
TreeMap,Duplicatas_50.0,1000,Memoria,74080.00,0.00
TreeMap,Duplicatas_75.0,1000,Memoria,52080.00,0.00
TreeMap,Duplicatas_100.0,1000,Memoria,24184.00,0.00
TreeMap,Duplicatas_0.0,10000,Memoria,1120096.00,0.00
TreeMap,Duplicatas_25.0,10000,Memoria,939248.00,0.00
TreeMap,Duplicatas_50.0,10000,Memoria,757792.00,0.00
TreeMap,Duplicatas_75.0,10000,Memoria,573968.00,0.00
TreeMap,Duplicatas_100.0,10000,Memoria,240184.00,0.00
TreeMap,Duplicatas_0.0,100000,Memoria,11200096.00,0.00
TreeMap,Duplicatas_25.0,100000,Memoria,9399328.00,0.00
TreeMap,Duplicatas_50.0,100000,Memoria,7597984.00,0.00
TreeMap,Duplicatas_75.0,100000,Memoria,5793888.00,0.00
TreeMap,Duplicatas_100.0,100000,Memoria,2400184.00,0.00
TreeMap,Duplicatas_0.0,1000000,Memoria,112000096.00,0.00
TreeMap,Duplicatas_25.0,1000000,Memoria,93999376.00,0.00
TreeMap,Duplicatas_50.0,1000000,Memoria,75998272.00,0.00
TreeMap,Duplicatas_75.0,1000000,Memoria,57994432.00,0.00
TreeMap,Duplicatas_100.0,1000000,Memoria,24000184.00,0.00
