estrutura,cenario,tamanho,operacao,tempoMedio_ns,desvioPadrao
MinHeap,Aleatorio,1000,Add,64264.88,26614.46
MinHeap,Aleatorio,1000,RemoveMin,183904.40,171439.20
MinHeap,Aleatorio,1000,Busca,49609.58,85805.42
MinHeap,Crescente,1000,Add,35151.98,37150.43
MinHeap,Crescente,1000,RemoveMin,95412.53,59459.21
MinHeap,Crescente,1000,Busca,7324.98,5370.07
MinHeap,Decrescente,1000,Add,38339.25,44068.24
MinHeap,Decrescente,1000,RemoveMin,91946.35,48566.52
MinHeap,Decrescente,1000,Busca,7996.58,2840.82
MinHeap,Repetido,1000,Add,27766.98,46238.98
MinHeap,Repetido,1000,RemoveMin,75910.75,45726.34
MinHeap,Repetido,1000,Busca,1446.33,1301.44
MinHeap,Aleatorio,10000,Add,198898.20,107857.04
MinHeap,Aleatorio,10000,RemoveMin,876693.35,288404.53
MinHeap,Aleatorio,10000,Busca,267152.15,133879.57
MinHeap,Crescente,10000,Add,20001.13,9695.88
MinHeap,Crescente,10000,RemoveMin,659885.83,256424.23
MinHeap,Crescente,10000,Busca,176870.25,73253.74
MinHeap,Decrescente,10000,Add,209773.10,116695.56
MinHeap,Decrescente,10000,RemoveMin,576477.40,264386.42
MinHeap,Decrescente,10000,Busca,172881.40,90620.38
MinHeap,Repetido,10000,Add,111781.03,38986.28
MinHeap,Repetido,10000,RemoveMin,687788.68,327015.70
MinHeap,Repetido,10000,Busca,54723.85,28616.25
MinHeap,Aleatorio,100000,Add,1642757.68,394777.32
MinHeap,Aleatorio,100000,RemoveMin,9597368.55,516920.45
MinHeap,Aleatorio,100000,Busca,15705740.73,387548.76
MinHeap,Crescente,100000,Add,223447.28,125824.83
MinHeap,Crescente,100000,RemoveMin,6340176.93,256620.70
MinHeap,Crescente,100000,Busca,16469827.45,451432.12
MinHeap,Decrescente,100000,Add,2782728.93,470066.31
MinHeap,Decrescente,100000,RemoveMin,6538858.45,559911.06
MinHeap,Decrescente,100000,Busca,16238776.03,672720.30
MinHeap,Repetido,100000,Add,1219134.38,408276.22
MinHeap,Repetido,100000,RemoveMin,5980776.38,327223.79
MinHeap,Repetido,100000,Busca,4057523.68,491520.47
MinHeap,Aleatorio,1000000,Add,11955496.50,621982.56
MinHeap,Aleatorio,1000000,RemoveMin,133813682.48,5231045.80
MinHeap,Aleatorio,1000000,Busca,1605665857.15,67051355.69
MinHeap,Crescente,1000000,Add,1892188.35,398969.74
MinHeap,Crescente,1000000,RemoveMin,70196690.80,518169.54
MinHeap,Crescente,1000000,Busca,1628376541.40,17323558.05
MinHeap,Decrescente,1000000,Add,26222193.75,397486.29
MinHeap,Decrescente,1000000,RemoveMin,64508494.70,521973.72
MinHeap,Decrescente,1000000,Busca,1661243714.18,65940235.45
MinHeap,Repetido,1000000,Add,9901319.70,313946.45
MinHeap,Repetido,1000000,RemoveMin,62182732.78,338515.75
MinHeap,Repetido,1000000,Busca,270404334.15,5079567.93
TreeMap,Aleatorio,1000,Add,250396.90,83050.47
TreeMap,Aleatorio,1000,RemoveMin,208145.53,116492.96
TreeMap,Aleatorio,1000,Busca,22457.88,21925.65
TreeMap,Crescente,1000,Add,126615.13,39149.33
TreeMap,Crescente,1000,RemoveMin,132138.30,47181.47
TreeMap,Crescente,1000,Busca,14896.80,11097.47
TreeMap,Decrescente,1000,Add,134807.48,60307.57
TreeMap,Decrescente,1000,RemoveMin,139671.10,58565.06
TreeMap,Decrescente,1000,Busca,15246.75,3869.48
TreeMap,Repetido,1000,Add,60228.58,20784.64
TreeMap,Repetido,1000,RemoveMin,26480.05,9416.10
TreeMap,Repetido,1000,Busca,9687.20,3079.12
TreeMap,Aleatorio,10000,Add,2622613.68,392396.56
TreeMap,Aleatorio,10000,RemoveMin,1353586.88,323913.96
TreeMap,Aleatorio,10000,Busca,80778.28,19136.91
TreeMap,Crescente,10000,Add,953753.28,224469.62
TreeMap,Crescente,10000,RemoveMin,948112.65,196419.19
TreeMap,Crescente,10000,Busca,51578.18,23520.83
TreeMap,Decrescente,10000,Add,968140.70,272433.70
TreeMap,Decrescente,10000,RemoveMin,962270.50,195792.34
TreeMap,Decrescente,10000,Busca,54029.00,15916.84
TreeMap,Repetido,10000,Add,285464.20,139287.39
TreeMap,Repetido,10000,RemoveMin,145363.08,62453.35
TreeMap,Repetido,10000,Busca,2141.10,814.92
TreeMap,Aleatorio,100000,Add,64765350.20,2276165.82
TreeMap,Aleatorio,100000,RemoveMin,7409910.70,785380.72
TreeMap,Aleatorio,100000,Busca,552395.83,92199.76
TreeMap,Crescente,100000,Add,34728405.65,3540995.59
TreeMap,Crescente,100000,RemoveMin,6138943.93,433379.12
TreeMap,Crescente,100000,Busca,612556.00,116028.60
TreeMap,Decrescente,100000,Add,34296858.75,3235076.84
TreeMap,Decrescente,100000,RemoveMin,6218419.25,381784.21
TreeMap,Decrescente,100000,Busca,601423.03,104480.43
TreeMap,Repetido,100000,Add,7641548.38,1596107.56
TreeMap,Repetido,100000,RemoveMin,1511604.28,337927.23
TreeMap,Repetido,100000,Busca,18854.38,8820.79
TreeMap,Aleatorio,1000000,Add,1091397305.65,25319831.12
TreeMap,Aleatorio,1000000,RemoveMin,81271469.35,5644307.29
TreeMap,Aleatorio,1000000,Busca,7620502.95,648398.14
TreeMap,Crescente,1000000,Add,231496851.13,5598939.83
TreeMap,Crescente,1000000,RemoveMin,58225717.78,668956.36
TreeMap,Crescente,1000000,Busca,8192839.18,657221.74
TreeMap,Decrescente,1000000,Add,235469128.55,11207862.83
TreeMap,Decrescente,1000000,RemoveMin,60596440.93,1260372.17
TreeMap,Decrescente,1000000,Busca,8276460.68,523887.46
TreeMap,Repetido,1000000,Add,57124406.45,8458900.52
TreeMap,Repetido,1000000,RemoveMin,48281303.80,514465.67
TreeMap,Repetido,1000000,Busca,245331.38,101824.52
